2025-12-28 21:34:04 | system | INFO | Web UI mounted from: C:\New folder\Sallie\progeny_root\interface\web
2025-12-28 21:34:05 | system | INFO | [Init] Initializing system_info...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ system_info initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing permissions...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ permissions initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing smart_home...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ smart_home initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing performance...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ performance initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing heritage_versioning...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ heritage_versioning initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing emotional_memory...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ emotional_memory initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing intuition...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ intuition initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing spontaneity...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ spontaneity initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing uncertainty...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ uncertainty initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing aesthetic...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ aesthetic initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing energy_cycles...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ energy_cycles initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] Initializing convergence_response...
2025-12-28 21:34:05 | system | INFO | [Init] ✓ convergence_response initialized successfully
2025-12-28 21:34:05 | system | INFO | [Init] ✓ Human-bridging systems initialized
2025-12-28 21:34:07 | system | INFO | [Init] System health check: {'state': 'FULL', 'status': {'ollama': True, 'qdrant': True, 'disk': True}, 'last_check': 1766979245.1212268}
2025-12-28 21:34:07 | system | INFO | [Init] Initialization complete: 31/31 systems initialized successfully
2025-12-28 21:34:07 | system | INFO | [Init] Registered Ghost as limbic state observer
2025-12-28 21:34:07 | system | INFO | [Init] State synchronization observers registered
2025-12-28 22:39:26 | system | INFO | Web UI mounted from: C:\New folder\Sallie\progeny_root\interface\web
2025-12-28 22:39:26 | system | INFO | Initializing Digital Progeny v5.4.2...
2025-12-28 22:39:26 | llm_router | INFO | LLMRouter initialized: Gemini=disabled, Ollama=fallback
2025-12-28 22:39:26 | system | WARNING | [Init] No Gemini API key - using Ollama only
2025-12-28 22:39:26 | system | INFO | [Init] Initializing limbic...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ limbic initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing memory...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ memory initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing degradation...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ degradation initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing identity...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ identity initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing control...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ control initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing agency...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ agency initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing monologue...
2025-12-28 22:39:26 | synthesis | INFO | [Synthesis] Synthesis system initialized
2025-12-28 22:39:26 | system | INFO | [Init] ✓ monologue initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing dream...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ dream initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing ghost...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ ghost initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing convergence...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ convergence initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing foundry...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ foundry initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing kinship...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ kinship initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing mirror...
2025-12-28 22:39:26 | system | INFO | [Init] ✓ mirror initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing learning...
2025-12-28 22:39:26 | learning | INFO | [LEARNING] Learning system initialized
2025-12-28 22:39:26 | system | INFO | [Init] ✓ learning initialized successfully
2025-12-28 22:39:26 | system | INFO | [Init] Initializing sync...
2025-12-29 03:08:47 | system | INFO | Web UI mounted from: C:\Sallie\progeny_root\Peer\interface\web
2025-12-29 03:08:47 | system | INFO | Initializing Digital Progeny v5.4.2...
2025-12-29 03:08:47 | llm_router | INFO | LLMRouter initialized: Gemini=disabled, Ollama=fallback
2025-12-29 03:08:47 | system | WARNING | [Init] No Gemini API key - using Ollama only
2025-12-29 03:08:47 | system | INFO | [Init] Initializing limbic...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ limbic initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing memory...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ memory initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing degradation...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ degradation initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing identity...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ identity initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing control...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ control initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing agency...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ agency initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing monologue...
2025-12-29 03:08:47 | synthesis | INFO | [Synthesis] Synthesis system initialized
2025-12-29 03:08:47 | system | INFO | [Init] ✓ monologue initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing dream...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ dream initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing ghost...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ ghost initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing convergence...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ convergence initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing foundry...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ foundry initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing kinship...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ kinship initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing mirror...
2025-12-29 03:08:47 | system | INFO | [Init] ✓ mirror initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing learning...
2025-12-29 03:08:47 | learning | INFO | [LEARNING] Learning system initialized
2025-12-29 03:08:47 | system | INFO | [Init] ✓ learning initialized successfully
2025-12-29 03:08:47 | system | INFO | [Init] Initializing sync...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ sync initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing push...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ push initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing devices...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ devices initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing filesystem...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ filesystem initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing app_control...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ app_control initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing system_info...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ system_info initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing permissions...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ permissions initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing smart_home...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ smart_home initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing performance...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ performance initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing heritage_versioning...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ heritage_versioning initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing emotional_memory...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ emotional_memory initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing intuition...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ intuition initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing spontaneity...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ spontaneity initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing uncertainty...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ uncertainty initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing aesthetic...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ aesthetic initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing energy_cycles...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ energy_cycles initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] Initializing convergence_response...
2025-12-29 03:08:48 | system | INFO | [Init] ✓ convergence_response initialized successfully
2025-12-29 03:08:48 | system | INFO | [Init] ✓ Human-bridging systems initialized
2025-12-29 03:08:51 | system | INFO | [Init] System health check: {'state': 'FULL', 'status': {'ollama': True, 'qdrant': True, 'disk': True}, 'last_check': 1766999328.5856874}
2025-12-29 03:08:51 | system | INFO | [Init] Initialization complete: 31/31 systems initialized successfully
2025-12-29 03:08:51 | system | INFO | [Init] Registered Ghost as limbic state observer
2025-12-29 03:08:51 | system | INFO | [Init] State synchronization observers registered
2025-12-29 03:09:44 | system | INFO | Shutting down Digital Progeny...
